,Name,ReviewCount,Brand,ImageURL,Rating
1449,Colgate Kids Toothpaste with Anticavity Fluori...,37,colgate,https://i5.walmartimages.com/asr/38951b29-3178...,4.4
3980,Toms of Maine 683377 Toddler Fluoride-Free Nat...,36,"tom, maine",https://i5.walmartimages.com/asr/3b8f1249-f6bf...,4.5
4602,3 Pack - Orajel Toddler Training Toothpaste Fr...,13,orajel,https://i5.walmartimages.com/asr/17c9ce4e-77d4...,4.7
4827,"Colgate Kids Toothbrush, Toothpaste, and Mouth...",2,colgate,https://i5.walmartimages.com/asr/845dcc0b-1900...,0
34,Crest Kids Cavity Protection Blue Bubblegum To...,51,,"https://i5.walmartimages.com/asr/c8f678fd-b578...	",4.7
2609,"Nicole by OPI Nail Lacquer, Next Stop the Bikini Zone A59, .5 fl oz",1,opi,https://i5.walmartimages.com/asr/a3436bdc-e2e5-4c0c-b55c-0b2cbfbd7757_1.dfbc7c5baecd7674a3dfb60c84daf4b7.jpeg | https://i5.walmartimages.com/asr/c2a0f417-6ff8-4897-90d1-245c95120968_1.fbe74583b49fae6e244072d37ecdfae7.jpeg | https://i5.walmartimages.com/asr/2b9ad826-a70f-4840-bd44-13aa1470333f_1.872ac5b64b61e2cc492e5cf7e748f0fb.jpeg | https://i5.walmartimages.com/asr/9ff61eaf-7d12-4e46-b952-8a621119f308_1.1d4cecd3bcac85150a68e70d3325c307.jpeg | https://i5.walmartimages.com/asr/da0b9c90-5ef0-468d-931a-2bb9fdf3793d_1.a609ee51799b22f581278fcdb3feb3f5.jpeg | https://i5.walmartimages.com/asr/75dbca18-fec4-4c55-abd1-04a576b35c11_1.80f4e1d7e02cb992f129610a507ae83e.jpeg,5
3124,"R+Co Aircraft Pomade Mousse, 5.6 Oz",1,crest,https://i5.walmartimages.com/asr/03319cbe-7f61-42d3-afa9-4c2ac5e2342e.2b236bcbb74ce2f85e3d3160d9b52236.jpeg | https://i5.walmartimages.com/asr/2f4285d4-4c45-494d-8eb5-63085eac9d66_1.6a8a578ebc6f354f12e190958f5e328a.jpeg,5
885,Candle Warmers Etc. Rustic Brown Hurricane Candle Warmer Lantern,10,"candle, warmers, etc",https://i5.walmartimages.com/asr/54376245-b5c1-4d6a-9972-bc41a2a825ea_1.f46b3671e8d222adc37867e197457837.png | https://i5.walmartimages.com/asr/91904d9e-c5bd-47a9-a9e3-c5ba4070103f_1.3a83b6ca0e7f670e6c016b80ba0194c8.png,5
3140,"Recovery Complex Anti-Frizz Shine Serum by Bain de Terre for Unisex, 4.2 oz",4,"bain, de, terre",https://i5.walmartimages.com/asr/fcdb4d2e-3727-4bc4-bb2a-63c585c236b0_1.4c8c7111e5dde79bad7e54b6f71a8781.jpeg | https://i5.walmartimages.com/asr/1e8c5630-bd1b-42bf-b29b-328734e30ea1_1.1c9ebfea6bdb2db875f2dad0f9e29b76.jpeg | https://i5.walmartimages.com/asr/a0be5e6f-2b7d-4949-a146-c6d36fc1e3bc_1.f3060628a171205ba3854294a3a300fc.jpeg | https://i5.walmartimages.com/asr/681df146-a265-4f3e-87ed-face6fffcd8a_1.845d323e06801631b2ecaf4a5a3b21d2.jpeg,5
3137,"ReNew Life CleanseMore, Veggie Caps, 60 ea",15,"renew, life",https://i5.walmartimages.com/asr/9f707fe4-9ee3-4dc5-b230-0005d2ba6f29_1.3b8ea51118f73b8528bbc6b808dd4ba4.jpeg | https://i5.walmartimages.com/asr/3fdd4912-70c4-4d75-bb00-72e390c9d6ac_1.db8927d28da7bb33697d9eff3b206fb8.jpeg,5
